name,lunar_month,lunar_day,description
腊八节,12,8,腊月初八
北方小年,12,23,腊月二十三（北方）
南方小年,12,24,腊月二十四（南方）
中元节,7,15,农历七月十五
元宵节,1,15,农历正月十五
七夕,7,7,农历七月初七（中国情人节）
重阳节,9,9,农历九月初九
龙抬头,2,2,农历二月二
上巳节,3,3,农历三月三（古代情人节）
